defect_id,release_id,module,severity,found_in,date_reported,date_resolved,status
1,1,Login,Medium,QA,2025-11-29,2025-12-08,Resolved
2,1,Login,Low,UAT,2025-11-27,2025-12-07,Resolved
3,1,Login,Medium,QA,2025-12-24,2026-01-02,Resolved
4,1,Login,High,QA,2025-12-22,2025-12-26,Resolved
5,1,Login,Critical,QA,2025-12-22,2025-12-25,Resolved
6,1,Login,Medium,QA,2025-12-06,2025-12-13,Resolved
7,1,Login,Low,UAT,2025-12-16,2026-01-03,Resolved
8,1,Login,Medium,QA,2025-11-30,2025-12-13,Resolved
9,1,Login,Low,UAT,2025-12-12,2025-12-21,Resolved
10,1,Login,Low,UAT,2025-11-27,2025-12-11,Resolved
11,2,Payments,Medium,Production,2025-05-25,2025-06-08,Resolved
12,2,Payments,Medium,QA,2025-06-19,2025-06-29,Resolved
13,2,Payments,Low,QA,2025-05-21,2025-05-29,Resolved
14,2,Payments,Medium,QA,2025-05-26,2025-06-04,Resolved
15,2,Payments,Medium,QA,2025-05-24,,Open
16,2,Payments,Low,QA,2025-06-10,2025-06-18,Resolved
17,2,Payments,Medium,QA,2025-06-03,2025-06-11,Resolved
18,2,Payments,Medium,Production,2025-06-02,2025-06-08,Resolved
19,2,Payments,Low,UAT,2025-06-15,2025-06-28,Resolved
20,2,Payments,High,UAT,2025-05-26,2025-06-02,Resolved
21,3,User Profile,Low,UAT,2025-03-09,2025-03-17,Resolved
22,3,User Profile,Medium,UAT,2025-03-20,2025-04-01,Resolved
23,3,User Profile,Low,QA,2025-02-25,,Open
24,3,User Profile,Low,QA,2025-03-09,2025-03-26,Resolved
25,3,User Profile,Critical,Production,2025-03-22,,Open
26,3,User Profile,Medium,QA,2025-02-26,2025-03-05,Resolved
27,4,Login,Medium,UAT,2025-08-11,2025-08-19,Resolved
28,4,Login,High,UAT,2025-09-03,2025-09-10,Resolved
29,4,Login,Low,QA,2025-09-03,,Open
30,4,Login,Medium,UAT,2025-08-21,,Open
31,4,Login,Low,QA,2025-09-02,,Open
32,4,Login,Critical,UAT,2025-08-16,,Open
33,4,Login,Low,QA,2025-08-27,2025-09-12,Resolved
34,5,Payments,Medium,QA,2025-05-05,2025-05-18,Resolved
35,5,Payments,High,QA,2025-05-09,,Open
36,5,Payments,Medium,QA,2025-05-01,2025-05-08,Resolved
37,5,Payments,Critical,QA,2025-05-15,2025-05-17,Resolved
38,5,Payments,Low,QA,2025-04-26,,Open
39,5,Payments,Low,Production,2025-05-14,,Open
40,5,Payments,Medium,QA,2025-05-05,,Open
41,5,Payments,Medium,QA,2025-05-05,2025-05-19,Resolved
42,6,User Profile,Low,QA,2025-01-30,2025-02-10,Resolved
43,6,User Profile,Medium,QA,2025-01-15,2025-01-29,Resolved
44,6,User Profile,Medium,UAT,2025-02-13,2025-02-19,Resolved
45,6,User Profile,Medium,Production,2025-02-07,2025-02-16,Resolved
46,7,User Profile,Medium,UAT,2025-12-06,2025-12-18,Resolved
47,8,User Profile,Low,QA,2025-09-07,2025-09-22,Resolved
48,8,User Profile,High,QA,2025-08-28,2025-09-03,Resolved
49,8,User Profile,Medium,UAT,2025-09-02,2025-09-16,Resolved
50,8,User Profile,Medium,Production,2025-09-12,2025-09-21,Resolved
51,8,User Profile,Critical,Production,2025-09-10,2025-09-12,Resolved
52,8,User Profile,Medium,QA,2025-09-02,2025-09-16,Resolved
53,9,Payments,Medium,QA,2025-01-27,2025-02-10,Resolved
54,9,Payments,Medium,QA,2025-01-06,2025-01-15,Resolved
55,9,Payments,Medium,QA,2025-01-12,2025-01-17,Resolved
56,10,Search,High,UAT,2025-06-28,2025-07-05,Resolved
57,10,Search,Low,QA,2025-07-16,2025-07-26,Resolved
58,10,Search,Low,Production,2025-07-04,,Open
59,10,Search,Medium,Production,2025-07-20,2025-08-01,Resolved
60,10,Search,Medium,QA,2025-07-15,2025-07-27,Resolved
61,11,Login,High,UAT,2025-07-03,2025-07-05,Resolved
62,11,Login,Low,QA,2025-06-27,2025-07-11,Resolved
63,11,Login,High,UAT,2025-07-16,2025-07-22,Resolved
64,11,Login,Medium,QA,2025-06-30,2025-07-07,Resolved
65,11,Login,Medium,QA,2025-07-17,2025-07-29,Resolved
66,12,Search,Low,UAT,2025-02-20,,Open
67,12,Search,Medium,Production,2025-03-04,,Open
68,12,Search,Low,QA,2025-02-27,2025-03-18,Resolved
69,13,Search,Medium,QA,2025-11-27,2025-12-05,Resolved
70,13,Search,Medium,QA,2025-11-16,2025-11-23,Resolved
71,13,Search,Critical,QA,2025-11-08,2025-11-09,Resolved
